Game,Date,Conference,Venue,Opp,Min,PTS,FG,FGA,FT,FTA,Season,MVP,Ring
1,11/1/86,East,Away,NYK,41,50,15,31,20,22,1,N,N
2,11/2/86,East,Away,CLE,39,41,16,31,9,12,1,N,N
3,11/4/86,West,Home,SAS,44,34,14,31,6,13,1,N,N
4,11/7/86,East,Away,DET,42,33,11,26,11,15,1,N,N
5,11/8/86,West,Home,PHO,39,39,17,27,5,5,1,N,N
6,11/11/86,East,Home,ATL,39,34,14,32,6,6,1,N,N
7,11/12/86,East,Away,WSB,39,28,9,25,10,12,1,N,N
8,11/14/86,East,Home,BOS,41,48,17,33,13,14,1,N,N
9,11/21/86,East,Home,NYK,40,40,14,26,12,15,1,N,N
10,11/22/86,East,Home,WSB,39,22,10,26,2,3,1,N,N
11,11/26/86,West,Away,DEN,41,37,13,31,11,14,1,N,N
12,11/28/86,West,Away,LAL,45,41,19,43,3,4,1,N,N
13,11/29/86,West,Away,GSW,42,40,11,30,18,19,1,N,N
14,12/2/86,West,Away,SEA,48,40,13,30,14,15,1,N,N
15,12/3/86,West,Away,UTA,40,45,17,33,11,13,1,N,N
16,12/5/86,West,Away,PHO,41,43,15,37,13,17,1,N,N
17,12/6/86,West,Away,SAS,44,43,18,38,7,7,1,N,N
18,12/9/86,West,Home,DEN,42,40,16,30,8,9,1,N,N
19,12/10/86,East,Away,ATL,39,41,15,25,11,12,1,N,N
20,12/12/86,East,Away,MIL,39,41,16,24,9,11,1,N,N
21,12/13/86,East,Home,MIL,31,11,3,17,5,8,1,N,N
22,12/16/86,East,Home,NJN,37,41,13,29,15,18,1,N,N
23,12/18/86,East,Away,IND,39,41,15,27,11,12,1,N,N
24,12/20/86,West,Home,UTA,38,27,10,26,7,8,1,N,N
25,12/23/86,East,Home,CLE,35,43,18,33,7,7,1,N,N
26,12/25/86,East,Away,NYK,41,30,10,28,10,12,1,N,N
27,12/27/86,East,Home,IND,36,44,20,29,4,4,1,N,N
28,12/30/86,West,Home,GSW,40,31,12,27,5,7,1,N,N
29,1/2/87,East,Away,BOS,40,34,13,31,8,10,1,N,N
30,1/3/87,East,Home,DET,38,47,16,35,15,17,1,N,N
31,1/6/87,East,Away,CLE,38,27,13,23,1,3,1,N,N
32,1/8/87,West,Home,POR,43,53,20,34,13,16,1,N,N
33,1/10/87,East,Home,NJN,36,31,8,24,15,15,1,N,N
34,1/15/87,West,Home,HOU,43,43,17,43,8,9,1,N,N
35,1/17/87,East,Home,PHI,44,47,17,34,13,14,1,N,N
36,1/19/87,East,Away,IND,41,32,11,25,9,11,1,N,N
37,1/20/87,East,Home,MIL,39,31,11,22,9,10,1,N,N
38,1/23/87,East,Home,CLE,37,35,14,28,6,6,1,N,N
39,1/24/87,East,Away,CLE,27,27,11,20,5,6,1,N,N
40,1/27/87,East,Home,BOS,40,30,13,34,4,6,1,N,N
41,1/28/87,East,Away,BOS,37,27,11,23,5,8,1,N,N
42,1/30/87,East,Away,PHI,41,49,19,35,11,12,1,N,N
43,2/1/87,East,Away,DET,44,38,14,39,9,9,1,N,N
44,2/3/87,East,Home,WSB,43,32,12,28,8,9,1,N,N
45,2/5/87,East,Away,MIL,44,36,12,24,12,13,1,N,N
46,2/10/87,East,Home,PHI,41,29,11,22,7,9,1,N,N
47,2/13/87,West,Home,SEA,41,45,14,28,17,19,1,N,N
48,2/14/87,East,Away,NYK,37,33,15,24,3,5,1,N,N
49,2/16/87,West,Home,SAC,48,43,13,30,17,18,1,N,N
50,2/20/87,West,Home,LAL,40,33,11,27,11,12,1,N,N
51,2/22/87,East,Home,CLE,39,43,16,29,11,15,1,N,N
52,2/24/87,East,Home,ATL,42,34,10,22,14,18,1,N,N
53,2/26/87,East,Home,NJN,37,58,16,25,26,27,1,N,N
54,2/28/87,East,Home,MIL,38,37,11,28,15,17,1,N,N
55,3/1/87,East,Away,NJN,39,30,10,23,10,12,1,N,N
56,3/3/87,West,Home,LAC,28,30,11,17,8,9,1,N,N
57,3/4/87,East,Away,DET,43,61,22,39,17,18,1,N,N
58,3/6/87,East,Home,NYK,39,27,10,24,7,9,1,N,N
59,3/8/87,West,Home,DAL,44,33,11,28,11,12,1,N,N
60,3/9/87,East,Away,ATL,42,31,12,26,7,10,1,N,N
61,3/11/87,East,Away,PHI,44,49,19,34,10,11,1,N,N
62,3/13/87,East,Home,DET,36,24,7,22,10,13,1,N,N
63,3/14/87,East,Away,WSB,47,13,5,20,3,3,1,N,N
64,3/16/87,West,Away,HOU,43,44,15,28,14,14,1,N,N
65,3/17/87,West,Away,DAL,42,21,7,21,6,7,1,N,N
66,3/19/87,West,Away,LAC,41,40,14,23,11,11,1,N,N
67,3/21/87,West,Away,SAC,44,40,13,25,14,15,1,N,N
68,3/22/87,West,Away,POR,43,46,14,26,18,20,1,N,N
69,3/24/87,East,Home,PHI,44,56,22,32,12,15,1,N,N
70,3/26/87,East,Away,NJN,43,40,14,30,12,14,1,N,N
71,3/27/87,East,Home,BOS,40,22,9,23,4,5,1,N,N
72,3/29/87,East,Home,NYK,40,33,13,24,7,9,1,N,N
73,3/31/87,East,Home,WSB,34,36,12,18,12,14,1,N,N
74,4/1/87,East,Away,IND,41,26,10,25,5,6,1,N,N
75,4/3/87,East,Away,WSB,45,32,13,22,5,5,1,N,N
76,4/4/87,East,Away,ATL,35,31,9,24,13,13,1,N,N
77,4/7/87,East,Home,DET,26,39,13,21,13,16,1,N,N
78,4/10/87,East,Away,PHI,50,34,11,31,12,15,1,N,N
79,4/12/87,East,Home,IND,42,53,19,27,15,18,1,N,N
80,4/13/87,East,Away,MIL,41,50,16,31,18,22,1,N,N
81,4/16/87,East,Home,ATL,41,61,22,38,17,21,1,N,N
82,4/17/87,East,Away,BOS,25,17,5,15,7,7,1,N,N
83,11/7/87,East,Home,PHI,38,36,15,25,6,10,2,Y,N
84,11/10/87,East,Away,ATL,42,29,11,23,6,9,2,Y,N
85,11/11/87,East,Away,NJN,40,31,10,20,11,13,2,Y,N
86,11/13/87,East,Home,NJN,35,36,10,19,16,17,2,Y,N
