Game,Date,Conference,Venue,Opp,Min,PTS,FG,FGA,FT,FTA,Season
1,11/7/87,East,Home,PHI,38,36,15,25,6,10,MVP1
2,11/10/87,East,Away,ATL,42,29,11,23,6,9,MVP1
3,11/11/87,East,Away,NJN,40,31,10,20,11,13,MVP1
4,11/13/87,East,Home,NJN,35,36,10,19,16,17,MVP1
5,11/14/87,East,Home,IND,40,37,14,29,9,11,MVP1
6,11/17/87,East,Home,WSB,36,26,10,18,6,6,MVP1
7,11/18/87,East,Away,WSB,40,30,9,21,12,12,MVP1
8,11/20/87,East,Home,ATL,40,33,10,22,13,14,MVP1
9,11/21/87,East,Home,DET,44,49,17,38,15,17,MVP1
10,11/23/87,East,Away,BOS,41,31,12,26,7,10,MVP1
11,11/25/87,East,Away,MIL,39,33,13,24,7,8,MVP1
12,11/27/87,West,Away,DAL,45,25,8,20,9,9,MVP1
13,11/28/87,West,Away,HOU,41,34,12,22,10,10,MVP1
14,12/1/87,West,Away,GSW,40,16,6,15,4,6,MVP1
15,12/2/87,West,Away,UTA,39,47,17,27,13,16,MVP1
16,12/4/87,West,Away,DEN,35,23,9,15,4,5,MVP1
17,12/5/87,West,Away,SAS,40,40,15,22,10,12,MVP1
18,12/8/87,East,Home,PHI,42,33,14,26,5,6,MVP1
19,12/10/87,East,Home,MIL,40,32,11,18,10,11,MVP1
20,12/12/87,West,Home,HOU,40,44,16,28,12,12,MVP1
21,12/15/87,East,Away,DET,50,38,12,26,13,16,MVP1
22,12/17/87,East,Home,CLE,41,52,20,31,12,12,MVP1
23,12/19/87,East,Away,WSB,43,30,12,23,6,8,MVP1
24,12/22/87,West,Home,DAL,41,28,11,20,6,7,MVP1
25,12/23/87,East,Away,NYK,39,16,5,15,6,9,MVP1
26,12/26/87,East,Away,IND,34,17,6,22,5,6,MVP1
27,12/29/87,East,Home,ATL,43,39,16,37,7,9,MVP1
28,1/2/88,East,Home,NJN,37,25,9,19,7,7,MVP1
29,1/5/88,East,Home,IND,38,31,12,20,7,8,MVP1
30,1/7/88,West,Home,DEN,42,28,11,22,6,11,MVP1
31,1/9/88,West,Home,UTA,38,45,17,23,11,14,MVP1
32,1/12/88,East,Home,BOS,43,42,19,35,4,5,MVP1
33,1/14/88,East,Away,CLE,45,28,12,24,4,6,MVP1
34,1/16/88,East,Home,DET,38,36,12,26,12,13,MVP1
