Game,Date,Conference,Venue,Opp,Min,PTS,FG,FGA,FT,FTA,Season
1,11/1/86,East,Away,NYK,41,50,15,31,20,22,N1
2,11/2/86,East,Away,CLE,39,41,16,31,9,12,N1
3,11/4/86,West,Home,SAS,44,34,14,31,6,13,N1
4,11/7/86,East,Away,DET,42,33,11,26,11,15,N1
5,11/8/86,West,Home,PHO,39,39,17,27,5,5,N1
6,11/11/86,East,Home,ATL,39,34,14,32,6,6,N1
7,11/12/86,East,Away,WSB,39,28,9,25,10,12,N1
8,11/14/86,East,Home,BOS,41,48,17,33,13,14,N1
9,11/21/86,East,Home,NYK,40,40,14,26,12,15,N1
10,11/22/86,East,Home,WSB,39,22,10,26,2,3,N1
11,11/26/86,West,Away,DEN,41,37,13,31,11,14,N1
12,11/28/86,West,Away,LAL,45,41,19,43,3,4,N1
13,11/29/86,West,Away,GSW,42,40,11,30,18,19,N1
14,12/2/86,West,Away,SEA,48,40,13,30,14,15,N1
15,12/3/86,West,Away,UTA,40,45,17,33,11,13,N1
16,12/5/86,West,Away,PHO,41,43,15,37,13,17,N1
17,12/6/86,West,Away,SAS,44,43,18,38,7,7,N1
18,12/9/86,West,Home,DEN,42,40,16,30,8,9,N1
19,12/10/86,East,Away,ATL,39,41,15,25,11,12,N1
20,12/12/86,East,Away,MIL,39,41,16,24,9,11,N1
21,12/13/86,East,Home,MIL,31,11,3,17,5,8,N1
22,12/16/86,East,Home,NJN,37,41,13,29,15,18,N1
23,12/18/86,East,Away,IND,39,41,15,27,11,12,N1
24,12/20/86,West,Home,UTA,38,27,10,26,7,8,N1
25,12/23/86,East,Home,CLE,35,43,18,33,7,7,N1
26,12/25/86,East,Away,NYK,41,30,10,28,10,12,N1
27,12/27/86,East,Home,IND,36,44,20,29,4,4,N1
28,12/30/86,West,Home,GSW,40,31,12,27,5,7,N1
29,1/2/87,East,Away,BOS,40,34,13,31,8,10,N1
30,1/3/87,East,Home,DET,38,47,16,35,15,17,N1
31,1/6/87,East,Away,CLE,38,27,13,23,1,3,N1
32,1/8/87,West,Home,POR,43,53,20,34,13,16,N1
33,1/10/87,East,Home,NJN,36,31,8,24,15,15,N1
34,1/15/87,West,Home,HOU,43,43,17,43,8,9,N1
35,1/17/87,East,Home,PHI,44,47,17,34,13,14,N1
36,1/19/87,East,Away,IND,41,32,11,25,9,11,N1
37,1/20/87,East,Home,MIL,39,31,11,22,9,10,N1
38,1/23/87,East,Home,CLE,37,35,14,28,6,6,N1
39,1/24/87,East,Away,CLE,27,27,11,20,5,6,N1
40,1/27/87,East,Home,BOS,40,30,13,34,4,6,N1
41,1/28/87,East,Away,BOS,37,27,11,23,5,8,N1
42,1/30/87,East,Away,PHI,41,49,19,35,11,12,N1
43,2/1/87,East,Away,DET,44,38,14,39,9,9,N1
44,2/3/87,East,Home,WSB,43,32,12,28,8,9,N1
45,2/5/87,East,Away,MIL,44,36,12,24,12,13,N1
46,2/10/87,East,Home,PHI,41,29,11,22,7,9,N1
47,2/13/87,West,Home,SEA,41,45,14,28,17,19,N1
48,2/14/87,East,Away,NYK,37,33,15,24,3,5,N1
49,2/16/87,West,Home,SAC,48,43,13,30,17,18,N1
50,2/20/87,West,Home,LAL,40,33,11,27,11,12,N1
51,2/22/87,East,Home,CLE,39,43,16,29,11,15,N1
52,2/24/87,East,Home,ATL,42,34,10,22,14,18,N1
53,2/26/87,East,Home,NJN,37,58,16,25,26,27,N1
54,2/28/87,East,Home,MIL,38,37,11,28,15,17,N1
55,3/1/87,East,Away,NJN,39,30,10,23,10,12,N1
56,3/3/87,West,Home,LAC,28,30,11,17,8,9,N1
57,3/4/87,East,Away,DET,43,61,22,39,17,18,N1
58,3/6/87,East,Home,NYK,39,27,10,24,7,9,N1
59,3/8/87,West,Home,DAL,44,33,11,28,11,12,N1
60,3/9/87,East,Away,ATL,42,31,12,26,7,10,N1
61,3/11/87,East,Away,PHI,44,49,19,34,10,11,N1
62,3/13/87,East,Home,DET,36,24,7,22,10,13,N1
63,3/14/87,East,Away,WSB,47,13,5,20,3,3,N1
64,3/16/87,West,Away,HOU,43,44,15,28,14,14,N1
65,3/17/87,West,Away,DAL,42,21,7,21,6,7,N1
66,3/19/87,West,Away,LAC,41,40,14,23,11,11,N1
67,3/21/87,West,Away,SAC,44,40,13,25,14,15,N1
68,3/22/87,West,Away,POR,43,46,14,26,18,20,N1
69,3/24/87,East,Home,PHI,44,56,22,32,12,15,N1
70,3/26/87,East,Away,NJN,43,40,14,30,12,14,N1
71,3/27/87,East,Home,BOS,40,22,9,23,4,5,N1
72,3/29/87,East,Home,NYK,40,33,13,24,7,9,N1
73,3/31/87,East,Home,WSB,34,36,12,18,12,14,N1
74,4/1/87,East,Away,IND,41,26,10,25,5,6,N1
75,4/3/87,East,Away,WSB,45,32,13,22,5,5,N1
76,4/4/87,East,Away,ATL,35,31,9,24,13,13,N1
77,4/7/87,East,Home,DET,26,39,13,21,13,16,N1
78,4/10/87,East,Away,PHI,50,34,11,31,12,15,N1
79,4/12/87,East,Home,IND,42,53,19,27,15,18,N1
80,4/13/87,East,Away,MIL,41,50,16,31,18,22,N1
81,4/16/87,East,Home,ATL,41,61,22,38,17,21,N1
82,4/17/87,East,Away,BOS,25,17,5,15,7,7,N1
83,11/4/88,East,Home,DET,43,28,10,19,8,12,N2
84,11/5/88,East,Away,WSB,39,29,9,21,11,12,N2
85,11/8/88,East,Away,NYK,39,31,13,21,3,3,N2
86,11/9/88,East,Away,BOS,42,52,18,33,14,16,N2
87,11/11/88,East,Home,NJN,41,36,14,24,8,11,N2
88,11/12/88,East,Away,NJN,43,42,17,31,8,12,N2
89,11/15/88,East,Home,PHI,43,33,14,27,5,6,N2
90,11/16/88,East,Away,PHI,43,52,24,29,4,4,N2
91,11/18/88,East,Home,ATL,49,34,12,21,10,13,N2
92,11/22/88,West,Away,SAC,38,32,16,20,0,0,N2
93,11/23/88,West,Away,LAC,41,26,7,15,11,12,N2
94,11/26/88,West,Away,DEN,44,52,19,27,11,14,N2
95,11/29/88,West,Away,GSW,43,26,11,24,4,4,N2
96,11/30/88,West,Away,UTA,39,33,11,25,11,13,N2
97,12/3/88,West,Away,DAL,43,39,16,31,7,8,N2
98,12/6/88,East,Home,BOS,43,38,14,20,10,11,N2
99,12/7/88,East,Away,DET,40,18,4,16,10,11,N2
100,12/9/88,East,Home,MIL,40,35,10,17,15,17,N2
101,12/10/88,East,Home,MIA,37,38,14,25,9,10,N2
102,12/13/88,East,Home,ATL,41,28,11,24,6,6,N2
103,12/16/88,East,Home,IND,38,28,10,22,8,9,N2
104,12/17/88,East,Away,MIL,40,36,12,25,12,12,N2
105,12/20/88,West,Home,LAL,39,42,11,23,18,22,N2
106,12/23/88,East,Away,CHH,41,33,14,26,5,6,N2
107,12/27/88,East,Home,CLE,42,43,18,30,6,6,N2
108,12/29/88,East,Home,NYK,40,37,14,27,9,12,N2
109,12/30/88,East,Away,IND,37,31,13,26,5,5,N2
110,1/3/89,West,Home,LAC,47,41,15,30,11,15,N2
111,1/5/89,East,Away,CLE,41,32,13,24,5,5,N2
112,1/6/89,West,Home,UTA,37,27,12,21,3,5,N2
113,1/10/89,East,Away,ATL,41,48,17,29,14,16,N2
114,1/11/89,East,Away,CHH,40,24,7,15,10,11,N2
115,1/13/89,West,Home,DEN,46,38,13,24,12,13,N2
116,1/15/89,East,Home,BOS,41,42,13,23,16,17,N2
117,1/17/89,East,Home,IND,44,22,10,18,2,4,N2
118,1/19/89,East,Away,MIA,41,34,14,25,6,8,N2
119,1/21/89,West,Home,PHO,41,53,20,28,13,15,N2
120,1/24/89,West,Home,DAL,33,24,10,20,4,5,N2
121,1/25/89,East,Away,PHI,45,33,14,25,5,5,N2
122,1/27/89,East,Home,WSB,39,33,14,25,5,8,N2
123,1/31/89,East,Home,DET,41,21,7,24,7,10,N2
124,2/2/89,West,Home,SAC,40,40,15,21,10,12,N2
125,2/3/89,West,Away,HOU,45,29,10,24,9,12,N2
126,2/5/89,East,Away,DET,42,28,10,18,7,8,N2
127,2/7/89,East,Home,CHH,32,32,11,20,9,10,N2
128,2/9/89,West,Away,SAS,43,23,9,20,5,8,N2
129,2/14/89,East,Home,ATL,36,32,11,14,9,16,N2
130,2/16/89,East,Home,MIL,40,50,16,26,17,18,N2
131,2/19/89,East,Away,MIL,40,23,9,19,5,6,N2
132,2/20/89,West,Home,POR,26,33,13,22,7,8,N2
